"Date","User","Area","Action"
"07/08/2026, 11:03:08","CEO / Founder","Estate","Created EST-8011"
"07/08/2026, 10:11:30","CEO / Founder","Task","TSK-88624 → In Progress"
"07/08/2026, 10:11:28","CEO / Founder","Task","Created TSK-88624"
"07/08/2026, 10:11:24","CEO / Founder","Task","TSK-703 → Done"
"07/08/2026, 10:11:18","CEO / Founder","Task","TSK-702 → Review"
"07/08/2026, 10:11:17","CEO / Founder","Task","TSK-704 → Review"
"07/08/2026, 10:11:16","CEO / Founder","Task","TSK-706 → Review"
"07/08/2026, 10:11:14","CEO / Founder","Task","TSK-706 → In Progress"
"07/08/2026, 10:08:54","CEO / Founder","Order","Created ORD-93734907"
"07/08/2026, 10:08:45","CEO / Founder","Order","Created ORD-93725404"
"07/08/2026, 10:08:38","CEO / Founder","Order","Created ORD-93718389"
"06/08/2026, 15:32:44","CEO / Founder","Request Activity","Added Phone call to REQ-260713-001"
"06/08/2026, 14:29:07","CEO / Founder","Approval","APR-102 Approved"
"06/08/2026, 14:29:06","CEO / Founder","Approval","APR-099 Approved"
"06/08/2026, 14:29:04","CEO / Founder","Approval","APR-100 Approved"
"06/08/2026, 14:29:02","CEO / Founder","Approval","APR-101 Approved"
"2026-07-13 15:22","Civil Engineer","Request","Updated REQ-260713-001 to Site Assessment"
"2026-07-13 14:50","Legal Officer","Deliverable","Uploaded Deed of Assignment Draft for ORD-260713-004"
"2026-07-13 13:40","Site Engineer","Milestone","Requested reinforcement inspection for ORD-260630-011"
"2026-07-13 12:25","Property Manager","Plot","Reserved Fortress City plot 39"
"2026-07-13 11:05","Finance Officer","Payment","Confirmed ₦4,500,000 payment for INV-260713-004"
